Lease_Numb,Acreage,Lat,Lon,MW,
OCS-A 0478,29426,41.49743578,-70.32240755,357,
OCS-A 0482,96430,38.64473805,-74.69139778,1171,
OCS-A 0483,112799,36.90796076,-75.34906204,1369,
OCS-A 0486,97498,41.14477892,-71.08789893,1184,
OCS-A 0487,67252,41.00820804,-71.09075788,816,
OCS-A 0489,32737,38.40565095,-74.79624321,397,
OCS-A 0490,46970,38.30566678,-74.73571541,570,
OCS-A 0497,2135,36.89130935,-75.53482575,26,
OCS-A 0498,160480,39.09229507,-74.31456908,1948,
OCS-A 0499,183353,39.36133647,-74.05331986,2226,
OCS-A 0500,187523,40.96435083,-70.83339593,2277,
OCS-A 0501,166886,40.95336491,-70.58920853,2026,
OCS-A 0508,122405,36.33895794,-75.12710293,1486,
OCS-A 0512,79350,40.29533269,-73.31481309,963,
Massachusetts WEA,388746,40.75047979,-70.38774962,4719,
New York Proposed Commercial Lease,40918,40.43592233,-72.77169563,497,
North Carolina WEA - Wilmington East,133460,33.46123737,-77.91453313,1620,
North Carolina WEA - Wilmington West,51557,33.69774895,-78.28808396,626,
South Carolina Call Area - Cape Romain,155524,32.89398653,-79.28180352,1888,
South Carolina Call Area - Charleston,35590,32.51693753,-79.3119192,432,
South Carolina Call Area - Grand Strand,627800,33.44148967,-78.70960005,7621,
South Carolina Call Area - Winyah,34856,32.75111342,-78.60218283,423,
